nohup: ignoring input
2026-07-13 01:23:43,603 | INFO | overnight_sweep | [GPU 7] DONE beta=2.1250 temp=15.0000 in 37040.8s (rc=0) — log: /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta2.1250_temp15.0000/run.log
2026-07-13 01:27:49,523 | INFO | overnight_sweep | [GPU 2] DONE beta=2.5000 temp=10.0000 in 37011.1s (rc=0) — log: /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta2.5000_temp10.0000/run.log
2026-07-13 02:10:05,345 | INFO | overnight_sweep | [GPU 6] DONE beta=2.1250 temp=13.7500 in 40273.8s (rc=0) — log: /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta2.1250_temp13.7500/run.log
2026-07-13 11:09:26,231 | INFO | overnight_sweep | [GPU 5] DONE beta=2.5000 temp=13.7500 in 35944.1s (rc=0) — log: /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta2.5000_temp13.7500/run.log
2026-07-13 11:23:15,323 | INFO | overnight_sweep | [GPU 3] DONE beta=2.5000 temp=12.5000 in 36853.3s (rc=0) — log: /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta2.5000_temp12.5000/run.log
2026-07-13 11:38:49,384 | INFO | overnight_sweep | [GPU 1] DONE beta=2.5000 temp=15.0000 in 37495.7s (rc=0) — log: /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta2.5000_temp15.0000/run.log
2026-07-13 11:43:49,179 | INFO | overnight_sweep | [GPU 4] DONE beta=2.5000 temp=11.2500 in 39489.1s (rc=0) — log: /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta2.5000_temp11.2500/run.log
2026-07-13 11:43:49,182 | INFO | overnight_sweep | Generation grid complete: 25/25 configs OK (0 failed).
2026-07-13 11:43:49,193 | INFO | overnight_sweep | wrote /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/tribunal_inputs/gsi_softmax_no_th__beta1.0000_temp10.0000.jsonl (100 records)
2026-07-13 11:43:49,198 | INFO | overnight_sweep | wrote /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/tribunal_inputs/gsi_swiss_no_th__beta1.0000_temp10.0000.jsonl (79 records)
2026-07-13 11:43:49,202 | INFO | overnight_sweep | wrote /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/tribunal_inputs/gsi_elo_no_th__beta1.0000_temp10.0000.jsonl (77 records)
2026-07-13 11:43:49,205 | INFO | overnight_sweep | wrote /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/tribunal_inputs/gsi_elo_no_match__beta1.0000_temp10.0000.jsonl (75 records)
